thres,kernel_size = 3,kernel_size = 5,kernel_size = 7,kernel_size = 9
0.0,0.7833461993776993,0.7773455559665778,0.7722894995636055,0.7099738724300741
0.010101010101010102,0.7833461993776993,0.7773455559665778,0.7722894995636055,0.7099738724300741
0.020202020202020204,0.7820823706903426,0.7787807376736748,0.7777060548505828,0.709833116002681
0.030303030303030304,0.775268478290584,0.7666865191306518,0.7630415436843405,0.6973770975702516
0.04040404040404041,0.7726882471315576,0.761964548709718,0.7609990948985119,0.6623779623491393
0.05050505050505051,0.7650396695889878,0.760525611476571,0.760816980087418,0.62065012542358
0.06060606060606061,0.7280167792327412,0.6518146847683723,0.6753844735015018,0.5380714540040297
0.07070707070707072,0.7241252143080679,0.6716635286157572,0.6416486560324182,0.5074799411202087
0.08080808080808081,0.5768052654792931,0.6416585781262008,0.6396673959105932,0.37042517522998586
0.09090909090909091,0.573928272769706,0.6000736223472786,0.5976286539929083,0.37153799623485173
0.10101010101010102,0.5725229825381404,0.597023758994843,0.4967734458031669,0.34270930401310107
0.11111111111111112,0.46698506179973787,0.49722441840019727,0.49570469245832055,0.32333718322548105
0.12121212121212122,0.3190477469289468,0.37740639818929417,0.35426909297853015,0.33054611826383185
0.13131313131313133,0.3581217757395134,0.41625438303982487,0.4161318191517634,0.37573275058118
0.14141414141414144,0.46395574349566315,0.48931796123683036,0.4442876551900144,0.4426266056645417
0.15151515151515152,0.39866748688396547,0.43390554924929536,0.4331266656412854,0.4296759579161052
0.16161616161616163,0.3518302945527459,0.3482531229134759,0.3526127043788649,0.3440972861180904
0.17171717171717174,0.32369301020197827,0.33068168203676523,0.33361298388042615,0.3250949558409645
0.18181818181818182,0.25684864207405134,0.26172810271462205,0.3047805593755542,0.274026036360362
0.19191919191919193,0.22319619869569926,0.24917037136812223,0.29491664085776986,0.29537982167498383
0.20202020202020204,0.22217580340814003,0.28074871277078817,0.253208207553819,0.25329195531099563
0.21212121212121213,0.19287313099829634,0.24900999559293632,0.25297905155493045,0.2530882264553148
0.22222222222222224,0.239639087277375,0.2985542988986726,0.29962846457629494,0.29972704774535724
0.23232323232323235,0.2746748956150563,0.3330085966366676,0.3327374943393871,0.2996423690268474
0.24242424242424243,0.27459390639646486,0.3035619721723486,0.33280773603881986,0.29970448882115897
0.25252525252525254,0.274760497462617,0.27765023240282477,0.2772102402166723,0.24283865722538356
0.26262626262626265,0.22850865594819333,0.23008117508103856,0.22977516747972593,0.19490192116656713
0.27272727272727276,0.18129846178926476,0.1831995976571823,0.18282748141543115,0.14703239811175667
0.2828282828282829,0.18140744242370765,0.18330277465501493,0.18293210060707654,0.14716291803186834
0.29292929292929293,0.18140744242370765,0.18330277465501493,0.18293210060707654,0.14716291803186834
0.30303030303030304,0.14513214847004327,0.1456085727606668,0.14717058497776497,0.14716291803186834
0.31313131313131315,0.14514650466026485,0.14560302357665517,0.14717058497776497,0.14716291803186834
0.32323232323232326,0.14514650466026485,0.14560302357665517,0.14717058497776497,0.14716291803186834
0.33333333333333337,0.14514650466026485,0.14560302357665517,0.14717058497776497,0.14716291803186834
0.3434343434343435,0.14515630917989308,0.14574031947015975,0.1473124554231306,0.1473025848842205
0.3535353535353536,0.07462368436526136,0.07504698696111829,0.14664790982404746,0.1466390877393023
0.36363636363636365,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.37373737373737376,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.38383838383838387,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.393939393939394,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.4040404040404041,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.4141414141414142,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.42424242424242425,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.43434343434343436,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.4444444444444445,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.4545454545454546,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.4646464646464647,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.4747474747474748,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.48484848484848486,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.494949494949495,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.5050505050505051,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.5151515151515152,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.5252525252525253,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.5353535353535354,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.5454545454545455,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.5555555555555556,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.5656565656565657,0.07461150560872698,0.07511413179102505,0.07504222042734415,0.07504222042734415
0.5757575757575758,0.07462368436526136,0.07504698696111829,0.07525240666823198,0.07525240666823198
0.5858585858585859,0.0,0.0,0.0,0.0
0.595959595959596,0.0,0.0,0.0,0.0
0.6060606060606061,0.0,0.0,0.0,0.0
0.6161616161616162,0.0,0.0,0.0,0.0
0.6262626262626263,0.0,0.0,0.0,0.0
0.6363636363636365,0.0,0.0,0.0,0.0
